propertyId,coordinates,Micromarket,Area
P009,"12.972740282505839, 77.762918201677",; Whitefield,East Bangalore
P018,"12.935479933639101, 77.72441957373384",; Balagere,East Bangalore
P020,"12.98498582151736, 77.75253479508984",; Hoodi,East Bangalore
P022,"13.098188528098598, 77.61264800794628",; Yelahanka,East Bangalore
P023,"13.098188528098598, 77.61264800794628",; Yelahanka,East Bangalore
P024,"13.098188528098598, 77.61264800794628",; Yelahanka,East Bangalore
P027,"12.976634525463629, 77.5572376768376",; Chickpet,Central Bangalore
P030,"12.89868332347794, 77.67168750426562",; Harlur,East Bangalore
P031,"12.89306902960291, 77.7935542138515",; Sarjapura,East Bangalore
P032,"12.832983671223603, 77.79608333048392",; Byalahalli,East Bangalore
P033,"12.832985534980313, 77.79608353759964",; Byalahalli,East Bangalore
P034,"12.840863587222001, 77.78437750350288",; Sarjapura,East Bangalore
P035,"12.884967844170417, 77.79339212414686",; Sarjapura,East Bangalore
P036,"12.895109435913554, 77.786265277329",; Sarjapura,East Bangalore
P037,"12.877959918302771, 77.76226997645234",; Dommasandra,East Bangalore
P040,"12.838859542433926, 77.78113147450503",; Sarjapura,East Bangalore
P041,"12.838859542433926, 77.78113147450503",; Sarjapura,East Bangalore
P045,"12.934574601256234, 77.74373159133789",; Varthur,East Bangalore
P046,"12.852485668761435, 77.78331377055703",; Sarjapura,East Bangalore
P054,"12.935437194833638, 77.58752459853741",; Vishveshwara Puram,Central Bangalore
P059,"12.878309415907122, 77.77194963679469",; Sarjapura,East Bangalore
P062,"13.062869779610438, 77.73990398393417",; Budigere Cross,East Bangalore
P063,"12.935468164007771, 77.72442181550053",; Balagere,East Bangalore
P065,"12.899373779375244, 77.65003445778137",; Somsundarapalya,East Bangalore
P068,"13.026508558431626, 77.76344749632278",; Kannamangala,East Bangalore
P070,"12.979758899235035, 77.74917026993982",; Hoodi,East Bangalore
P071,"12.915517658851476, 77.58869248578394",; JP Nagar,South Bangalore
P074,"12.914242573325556, 77.68623059630549",; Kaikondrahalli,East Bangalore
P075,"12.972740282505839, 77.762918201677",; Whitefield,East Bangalore
P076,"13.100493205404142, 77.63910306945137",; Yelahanka,East Bangalore
P077,"12.939101298279471, 77.7376619858234",; Varthur,East Bangalore
P078,"12.972740282505839, 77.762918201677",; Whitefield,East Bangalore
P079,"12.972740282505839, 77.762918201677",; Whitefield,East Bangalore
P080,"12.972740282505839, 77.762918201677",; Whitefield,East Bangalore
P083,"12.909677029351755, 77.68070990294531",; Kasvanahalli,East Bangalore
P085,"12.913366100281948, 77.66725302188787",; Harlur,East Bangalore
P087,"12.933624074378187, 77.71670802979502",; Panathur,East Bangalore
P088,"12.786730284780456, 77.74408234646252",; Attibele,South Bangalore
P089,"12.882623078403883, 77.78315825578403",; Sarjapura,East Bangalore
P092,"12.870762583264558, 77.64502249272667",; Begur,South Bangalore
P098,"12.960421194097975, 77.74789536433062",; Whitefield,East Bangalore
