Project Name,Latitude,Longitude,Google Maps URL,Micromarket Name
Casagrand Galileo,13.0070447,77.6900495,"https://www.google.com/maps/place/Casagrand+Galileo/@13.0070447,77.6900495,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae113ec482eb35:0xedb4a67a0b2caced!8m2!3d13.0070395!4d77.6926244!16s%2Fg%2F11rnntz15s?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Mahadevapura
Ruchira Parkeast,13.0312165,77.7582359,"https://www.google.com/maps/place/Park+East+by+Ruchira/@13.0312165,77.7582359,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0f245bf65689:0x50192ca61b37cb7b!8m2!3d13.0312113!4d77.7608108!16s%2Fg%2F11sqw84h8c?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Kannamangala
Aryan Krishnaa Divine,13.0987287,77.5578259,"https://www.google.com/maps/place/Aryan+Krishnaa+Divine/@13.0987287,77.5578259,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae19abdc03add3:0xd16f5c44d57f70e7!8m2!3d13.0987235!4d77.5604008!16s%2Fg%2F11ss_shy2g?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Bylakere
DS Max Sukruth,12.7792864,77.7116197,"https://www.google.com/maps/place/DS-MAX+Sukruth/@12.7792864,77.7116197,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6ffb66acaae9:0x43732ecdb3d39024!8m2!3d12.7792812!4d77.7141946!16s%2Fg%2F11rpbsh26j?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Bommasandra
Tivoli Hills ,13.2582683,77.7059096,"https://www.google.com/maps/place/Purva+Tivoli+Hills/@13.2582683,77.7059096,17z/data=!3m1!4b1!4m6!3m5!1s0x3bb1e5551596e4e5:0x907c2c6ea1f71228!8m2!3d13.2582631!4d77.7084845!16s%2Fg%2F11rxv19b7j?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Devanahalli
SLV Millenial,12.8686568,77.6089124,"https://www.google.com/maps/place/SLV+MILLENNIAL/@12.8686568,77.6089124,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b9780bb8a83:0xcd7e865cab355365!8m2!3d12.8686516!4d77.6114873!16s%2Fg%2F11kt8tkk0p?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Akshayanagar
Adarsh Green,13.0956375,77.6108132,"https://www.google.com/maps/place/Adarsh+Greens/@13.0956375,77.6108132,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae198a4cbdb539:0xcd04572d8039a54a!8m2!3d13.0956323!4d77.6133881!16s%2Fg%2F11j1f3d77t?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Yelahanka
Sobha Crystal Meadows,12.9046144,77.7181041,"https://www.google.com/maps/place/SOBHA+Crystal+Meadows/@12.9046144,77.7181041,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae13b045da25ab:0xd5304d751fff336f!8m2!3d12.9046092!4d77.720679!16s%2Fg%2F11vyyv21s9?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Mullur
Acorn Hive,12.8510177,77.7303253,"https://www.google.com/maps/place/Acorn+Hive/@12.8510177,77.7303253,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6db6a977fe4b:0x66466d293b5fa421!8m2!3d12.8510125!4d77.7329002!16s%2Fg%2F11v3md_6bk?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Gopasandra
Pragathi Amber,12.8363956,77.6951623,"https://www.google.com/maps/place/Pragathi+Amber/@12.8363956,77.6951623,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6c5561a142b7:0xf7c555da3042974d!8m2!3d12.8363904!4d77.6977372!16s%2Fg%2F11clw4nfc3?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Electronic City
